
 syntran 0.0.63
 https://github.com/JeffIrwin/syntran

 Interpreting file "main.syntran"

Starting AOC syntran main 2017/17
x in [409, 616]
y in [3, 1863]
x, y = [135, 487]
x, y = [135, 488]
x, y = [135, 489]
x, y = [92, 265]
x, y = [92, 266]
x, y = [92, 267]
x, y = [92, 268]
x, y = [92, 269]
x, y = [92, 270]
x, y = [92, 271]
x, y = [92, 272]
x, y = [92, 273]
x, y = [92, 274]
x, y = [92, 275]
x, y = [92, 276]
x, y = [92, 277]
x, y = [92, 278]
x, y = [92, 279]
x, y = [92, 280]
x, y = [92, 281]
x, y = [92, 282]
x, y = [92, 283]
x, y = [92, 284]
x, y = [92, 285]
x, y = [92, 286]
x, y = [92, 287]
x, y = [92, 288]
x, y = [92, 289]
x, y = [92, 290]
x, y = [92, 291]
x, y = [92, 292]
x, y = [92, 293]
x, y = [92, 294]
x, y = [92, 295]
x, y = [92, 296]
x, y = [92, 297]
x, y = [92, 296]
x, y = [92, 295]
x, y = [92, 294]
x, y = [92, 293]
x, y = [92, 292]
x, y = [92, 291]
x, y = [92, 290]
x, y = [99, 291]
x, y = [99, 292]
x, y = [99, 293]
x, y = [99, 294]
x, y = [99, 295]
x, y = [99, 294]
x, y = [99, 293]
x, y = [99, 292]
x, y = [99, 291]
x, y = [99, 290]
x, y = [99, 289]
x, y = [99, 288]
x, y = [106, 289]
x, y = [106, 290]
x, y = [106, 291]
x, y = [106, 292]
x, y = [106, 293]
x, y = [106, 294]
x, y = [106, 295]
x, y = [106, 296]
x, y = [106, 297]
x, y = [106, 298]
x, y = [106, 299]
x, y = [106, 300]
x, y = [106, 301]
x, y = [106, 302]
x, y = [106, 303]
x, y = [106, 304]
x, y = [106, 305]
x, y = [106, 306]
x, y = [106, 307]
x, y = [106, 308]
x, y = [106, 309]
x, y = [106, 310]
x, y = [106, 311]
x, y = [106, 312]
x, y = [106, 313]
x, y = [106, 314]
x, y = [106, 315]
x, y = [106, 316]
x, y = [106, 317]
x, y = [106, 318]
x, y = [106, 319]
x, y = [106, 320]
x, y = [106, 321]
x, y = [106, 320]
x, y = [106, 319]
x, y = [106, 318]
x, y = [106, 317]
x, y = [106, 316]
x, y = [106, 315]
x, y = [106, 314]
x, y = [106, 313]
x, y = [106, 312]
x, y = [106, 311]
x, y = [106, 310]
x, y = [106, 309]
x, y = [106, 308]
x, y = [97, 309]
x, y = [97, 310]
x, y = [97, 311]
x, y = [97, 312]
x, y = [97, 313]
x, y = [97, 314]
x, y = [97, 315]
x, y = [97, 316]
x, y = [97, 317]
x, y = [97, 318]
x, y = [97, 319]
x, y = [97, 320]
x, y = [97, 321]
x, y = [97, 322]
x, y = [97, 323]
x, y = [97, 324]
x, y = [97, 325]
x, y = [97, 326]
x, y = [97, 327]
x, y = [97, 328]
x, y = [97, 329]
x, y = [97, 330]
x, y = [97, 331]
x, y = [97, 332]
x, y = [97, 333]
x, y = [97, 334]
x, y = [97, 335]
x, y = [97, 336]
x, y = [97, 337]
x, y = [97, 338]
x, y = [97, 339]
x, y = [97, 340]
x, y = [97, 341]
x, y = [97, 342]
x, y = [97, 343]
x, y = [97, 344]
x, y = [97, 345]
x, y = [97, 346]
x, y = [97, 347]
x, y = [97, 348]
x, y = [97, 349]
x, y = [97, 350]
x, y = [97, 351]
x, y = [97, 352]
x, y = [97, 353]
x, y = [97, 354]
x, y = [97, 355]
x, y = [97, 356]
x, y = [115, 309]
x, y = [115, 310]
x, y = [115, 311]
x, y = [115, 312]
x, y = [115, 313]
x, y = [115, 314]
x, y = [115, 315]
x, y = [115, 316]
x, y = [115, 317]
x, y = [115, 318]
x, y = [115, 319]
x, y = [115, 320]
x, y = [115, 321]
x, y = [115, 322]
x, y = [115, 323]
x, y = [115, 324]
x, y = [115, 325]
x, y = [115, 326]
x, y = [115, 327]
x, y = [115, 328]
x, y = [115, 329]
x, y = [115, 330]
x, y = [115, 331]
x, y = [115, 332]
x, y = [115, 333]
x, y = [115, 334]
x, y = [115, 335]
x, y = [115, 336]
x, y = [115, 337]
x, y = [115, 338]
x, y = [115, 339]
x, y = [115, 340]
x, y = [115, 341]
x, y = [115, 342]
x, y = [115, 343]
x, y = [115, 344]
x, y = [115, 345]
x, y = [115, 346]
x, y = [115, 345]
x, y = [115, 344]
x, y = [115, 343]
x, y = [115, 342]
x, y = [115, 341]
x, y = [115, 340]
x, y = [115, 339]
x, y = [115, 338]
x, y = [115, 337]
x, y = [115, 336]
x, y = [115, 335]
x, y = [115, 334]
x, y = [115, 333]
x, y = [115, 332]
x, y = [100, 333]
x, y = [100, 334]
x, y = [100, 335]
x, y = [100, 336]
x, y = [100, 337]
x, y = [100, 338]
x, y = [100, 339]
x, y = [100, 340]
x, y = [100, 341]
x, y = [100, 342]
x, y = [100, 343]
x, y = [100, 344]
x, y = [100, 345]
x, y = [100, 346]
x, y = [100, 347]
x, y = [100, 348]
x, y = [100, 349]
x, y = [100, 350]
x, y = [100, 351]
x, y = [100, 352]
x, y = [100, 353]
x, y = [100, 354]
x, y = [100, 355]
x, y = [100, 356]
x, y = [128, 333]
x, y = [128, 334]
x, y = [128, 335]
x, y = [128, 336]
x, y = [128, 337]
x, y = [128, 338]
x, y = [128, 339]
x, y = [128, 340]
x, y = [128, 341]
x, y = [128, 342]
x, y = [128, 343]
x, y = [128, 344]
x, y = [128, 345]
x, y = [128, 346]
x, y = [128, 347]
x, y = [128, 348]
x, y = [128, 349]
x, y = [128, 350]
x, y = [128, 351]
x, y = [128, 352]
x, y = [128, 353]
x, y = [128, 354]
x, y = [128, 355]
x, y = [128, 356]
x, y = [128, 357]
x, y = [128, 358]
x, y = [128, 359]
x, y = [128, 360]
x, y = [128, 361]
x, y = [128, 362]
x, y = [128, 363]
x, y = [128, 364]
x, y = [128, 365]
x, y = [128, 366]
x, y = [128, 367]
x, y = [128, 368]
x, y = [128, 369]
x, y = [128, 370]
x, y = [128, 371]
x, y = [128, 372]
x, y = [128, 373]
x, y = [128, 374]
x, y = [128, 375]
x, y = [128, 376]
x, y = [128, 377]
x, y = [128, 378]
x, y = [128, 379]
x, y = [128, 380]
x, y = [128, 381]
x, y = [128, 382]
x, y = [128, 383]
x, y = [128, 384]
x, y = [128, 385]
x, y = [128, 386]
x, y = [128, 387]
x, y = [128, 386]
x, y = [128, 385]
x, y = [128, 384]
x, y = [128, 383]
x, y = [128, 382]
x, y = [128, 381]
x, y = [128, 380]
x, y = [128, 379]
x, y = [130, 380]
x, y = [130, 381]
x, y = [130, 382]
x, y = [130, 383]
x, y = [130, 384]
x, y = [130, 385]
x, y = [130, 386]
x, y = [130, 387]
x, y = [130, 388]
x, y = [130, 389]
x, y = [130, 390]
x, y = [130, 391]
x, y = [130, 392]
x, y = [130, 393]
x, y = [130, 394]
x, y = [130, 395]
x, y = [130, 396]
x, y = [130, 397]
x, y = [130, 398]
x, y = [130, 399]
x, y = [130, 400]
x, y = [130, 401]
x, y = [130, 402]
x, y = [130, 403]
x, y = [130, 404]
x, y = [130, 405]
x, y = [130, 406]
x, y = [130, 407]
x, y = [130, 408]
x, y = [130, 409]
x, y = [130, 410]
x, y = [130, 411]
x, y = [130, 412]
x, y = [130, 413]
x, y = [130, 414]
x, y = [130, 415]
x, y = [130, 416]
x, y = [130, 417]
x, y = [130, 418]
x, y = [130, 419]
x, y = [130, 420]
x, y = [130, 421]
x, y = [130, 422]
x, y = [130, 423]
x, y = [130, 424]
x, y = [130, 425]
x, y = [130, 426]
x, y = [130, 427]
x, y = [130, 428]
x, y = [130, 429]
x, y = [130, 430]
x, y = [130, 431]
x, y = [130, 432]
x, y = [130, 433]
x, y = [130, 434]
x, y = [130, 435]
x, y = [130, 436]
x, y = [130, 437]
x, y = [130, 438]
x, y = [130, 439]
x, y = [130, 440]
x, y = [130, 441]
x, y = [130, 442]
x, y = [130, 443]
x, y = [130, 444]
x, y = [130, 445]
x, y = [130, 446]
x, y = [130, 447]
x, y = [130, 448]
x, y = [130, 449]
x, y = [130, 450]
x, y = [130, 451]
x, y = [130, 452]
x, y = [130, 453]
x, y = [130, 454]
x, y = [130, 455]
x, y = [130, 456]
x, y = [130, 457]
x, y = [130, 458]
x, y = [130, 459]
x, y = [130, 460]
x, y = [130, 461]
x, y = [130, 462]
x, y = [130, 463]
x, y = [130, 464]
x, y = [130, 465]
x, y = [130, 466]
x, y = [130, 467]
x, y = [130, 468]
x, y = [130, 469]
x, y = [130, 470]
x, y = [130, 471]
x, y = [95, 90]
x, y = [95, 91]
x, y = [95, 92]
x, y = [95, 93]
x, y = [95, 94]
x, y = [95, 95]
x, y = [95, 96]
x, y = [95, 97]
x, y = [95, 98]
x, y = [95, 99]
x, y = [95, 100]
x, y = [95, 101]
x, y = [95, 102]
x, y = [95, 101]
x, y = [95, 100]
x, y = [95, 99]
x, y = [95, 98]
x, y = [95, 97]
x, y = [95, 96]
x, y = [95, 95]
x, y = [95, 94]
x, y = [95, 93]
x, y = [95, 92]
x, y = [95, 91]
x, y = [95, 90]
x, y = [120, 91]
x, y = [120, 92]
x, y = [120, 93]
x, y = [120, 94]
x, y = [120, 95]
x, y = [120, 96]
x, y = [120, 97]
x, y = [120, 98]
x, y = [120, 99]
x, y = [120, 100]
x, y = [120, 101]
x, y = [120, 102]
x, y = [120, 103]
x, y = [120, 104]
x, y = [120, 105]
x, y = [120, 106]
x, y = [120, 107]
x, y = [120, 108]
x, y = [120, 109]
x, y = [120, 110]
x, y = [120, 111]
x, y = [120, 112]
x, y = [120, 113]
x, y = [120, 114]
x, y = [120, 115]
x, y = [120, 116]
x, y = [120, 117]
x, y = [120, 118]
x, y = [120, 119]
x, y = [120, 120]
x, y = [120, 121]
x, y = [120, 122]
x, y = [120, 123]
x, y = [120, 122]
x, y = [120, 121]
x, y = [120, 120]
x, y = [120, 119]
x, y = [120, 118]
x, y = [120, 117]
x, y = [120, 116]
x, y = [120, 115]
x, y = [120, 114]
x, y = [120, 113]
x, y = [120, 112]
x, y = [120, 111]
x, y = [120, 110]
x, y = [106, 111]
x, y = [106, 112]
x, y = [106, 113]
x, y = [106, 114]
x, y = [106, 115]
x, y = [106, 116]
x, y = [106, 117]
x, y = [106, 118]
x, y = [106, 119]
x, y = [106, 120]
x, y = [106, 121]
x, y = [106, 122]
x, y = [106, 123]
x, y = [106, 124]
x, y = [106, 125]
x, y = [106, 126]
x, y = [106, 127]
x, y = [106, 128]
x, y = [106, 129]
x, y = [106, 130]
x, y = [106, 131]
x, y = [106, 132]
x, y = [106, 133]
x, y = [106, 134]
x, y = [106, 135]
x, y = [106, 136]
x, y = [106, 137]
x, y = [106, 138]
x, y = [106, 139]
x, y = [106, 140]
x, y = [106, 141]
x, y = [106, 142]
x, y = [106, 143]
x, y = [106, 144]
x, y = [106, 145]
x, y = [106, 144]
x, y = [106, 143]
x, y = [106, 142]
x, y = [106, 141]
x, y = [106, 140]
x, y = [106, 139]
x, y = [106, 138]
x, y = [106, 137]
x, y = [106, 136]
x, y = [106, 135]
x, y = [106, 134]
x, y = [106, 133]
x, y = [95, 134]
x, y = [95, 135]
x, y = [95, 136]
x, y = [95, 137]
x, y = [95, 138]
x, y = [95, 139]
x, y = [95, 140]
x, y = [95, 141]
x, y = [95, 142]
x, y = [95, 143]
x, y = [95, 144]
x, y = [95, 145]
x, y = [95, 146]
x, y = [95, 147]
x, y = [95, 148]
x, y = [95, 149]
x, y = [95, 150]
x, y = [95, 151]
x, y = [95, 152]
x, y = [95, 153]
x, y = [95, 154]
x, y = [95, 155]
x, y = [95, 156]
x, y = [108, 49]
x, y = [108, 50]
x, y = [108, 51]
x, y = [108, 52]
x, y = [108, 53]
x, y = [108, 54]
x, y = [108, 55]
x, y = [108, 56]
x, y = [108, 57]
x, y = [108, 58]
x, y = [108, 59]
x, y = [108, 60]
x, y = [108, 61]
x, y = [108, 62]
x, y = [108, 63]
x, y = [108, 64]
x, y = [108, 65]
x, y = [108, 66]
x, y = [108, 67]
x, y = [108, 68]
x, y = [108, 69]
x, y = [108, 70]
x, y = [108, 71]
x, y = [108, 72]
x, y = [108, 73]
x, y = [108, 74]
x, y = [108, 75]
x, y = [108, 76]
x, y = [108, 77]
x, y = [108, 78]
x, y = [108, 79]
x, y = [108, 80]
x, y = [108, 81]
x, y = [108, 80]
x, y = [108, 79]
x, y = [108, 78]
x, y = [108, 77]
x, y = [108, 76]
x, y = [108, 75]
x, y = [108, 74]
x, y = [108, 73]
x, y = [108, 72]
x, y = [108, 71]
x, y = [108, 70]
x, y = [106, 71]
x, y = [106, 72]
x, y = [106, 73]
x, y = [106, 74]
x, y = [106, 75]
x, y = [106, 76]
x, y = [106, 77]
x, y = [106, 78]
x, y = [106, 79]
x, y = [106, 80]
x, y = [106, 81]
x, y = [106, 82]
x, y = [106, 83]
x, y = [106, 84]
x, y = [106, 85]
x, y = [106, 86]
x, y = [106, 87]
x, y = [106, 88]
x, y = [106, 89]
x, y = [106, 90]
sum_ = 36787
sum_ = 36787

........................................#..................................................|.............#.....................#...............................................................................
....................#...................#..................................................|.............#.....................#...............................................................................
....................#...................#........................................#..#......|.............#.....................#...............................................................................
....................#...................#........................................#..#......|.............#.....................#...............................................................................
....................#...................#...................................#....#..#|||||||||...........#.....................#...............................................................................
....................#...................#...................................#....#..#~~~~~~~#|...........#.....................#..............................................#................................
....................#...................#...................................#....#..#~~~~~~~#|...........#.....................#..............................................#.........................#......
....................#...................#...................................#....#..#~~~~~~~#|...........#.....................#..............................................#.........................#......
....................#...................#...................................#....#..#~~~~~~~#|...........#.........####........#..............................................###########################......
....................#####################...................................#....#..#~~~~~~~#|...........#.........#..#........#...............................................................................
............................................................................#....#..#~~~~~~~#|...........#.........#..#........#...............................................................................
............................................................................#....#..#~~~~~~~#|...........#.........####........#...............................................................................
............................................................................#....#..#~~~~~~~#|...........#.....................#...............................................................................
............................................................................#....#..#~~~~~~~#|...........#.....................#...............................................................................
............................................................................#....####~~~~~~~#|...........#.....................#..........................................#....................................
............................................................................#~~~~~~~~~~~~~~~#|...........#.....................#..........................................#.....#..............................
............................................................................#~~~~~~~~~~~~~~~#|...........#.....................#..........................................#.....#..............................
..........................#.................................................#~~~~~~~~~~~~~~~#|...........#.....................#..........................................#.....#..............................
.......#..................#.................................................#################|...........#.....................#..........................................#.....#..............................
.......####################..................................................................|...........#######################..........................................#.....#..............................
.............................................................................................|............................................................................#.....#..............................
.............................................................................................|............................................................................#.....#..............................
.............................................................................................|............................................................................#.....#..............................
.............................................................................................|............................................................................#.....#..............................
.................................................................................#...#.......|............................................................................#.....#..............................
.................................................................................#...#||||||||||..........................................................................#.....#..............................
.................................................................................#...#~~~~~~~~#|..........................................................................#.....#..............................
..........................................................................#......#...#~~~~~~~~#|..........................................................................#.....#..............................
..........................................................................#......#...#~~~~~~~~#|..........................................................................#.....#..............................
..........................................................................#......#...#~~~~~~~~#|..........................................................................#.....#..............................
..........................................................................#......#...#~~~~~~~~#|..........................................................................#######..............................
..........................................................................#......#...#~~~~~~~~#|...............................................................................................................
..........................................................................#......#...#~~~~~~~~#|...............................................................................................................
....................................................#.....................#......#...#~~~~~~~~#|...............................................................................................................
..............................#.....................#.....................#......#...#~~~~~~~~#|...............................................................................................................
..............................#.....................#.....................#......#...#~~~~~~~~#|...............................................................................................................
..............................#.....................#.....................#......#####~~~~~~~~#|...................................................#..........................#................................
..............................#.....................#.....................#~~~~~~~~~~~~~~~~~~~#|...................................................#..........................#................................
..............................#.....................#.....................#~~~~~~~~~~~~~~~~~~~#|...................................................#..........................#................................
..............................#.....................#.....................#####################|...................................................#..........................#................................
..............................#.....................#..........................................|...................................................#..........................#................................
..............................#.....................#..........................................|...................................................#..........................#................................
..............................#.....................#..........................................|...................................................#..........................#................................
..............................#.....................#..........................................|...................................................#..........................#................................
..............................#.....................#..........................................|...................................................#..........................#................................
..............................#.....................#..........................................|...................................................#..........................#................................
..............................#.....................#..........................................|...................................................#..........................#................................
..............................#.....................#..........................................|...................................................#..........................#................................
..............................#.....................#............................||||||||||||||||||||||||||||......................................#..........................#................................
..............................#.....................#............................|#~~~~~~~~~~~~~~~~~~~~~~~~#|......................................#..........................#................................
..............................#.....................#............................|#~~~~~~~~~~~~~~~~~~~~~~~~#|......................................#..........................#................................
..............................#.....................#............................|#~~~~~~~~~~~~~~~~~~~~~~~~#|......................................#..........................#................................
..............................#.....................#............................|#~~~~~~~~~~~~~~~~~~~~~~~~#|......................................#..........................#................................
..............................#.....................#............................|#~~~~~~~~~~~~~~~~~~~~~~~~#|......................................#..........................#................................
..............................#######################............................|#~~~~~#~~~~~~~~~~#~~~~~~~#|......................................#..........................#................................
.................................................................................|#~~~~~#~~~~~~~~~~#~~~~~~~#|......................................#..........................#................................
.................................................................................|#~~~~~#~~~~~~~~~~#~~~~~~~#|......................................#..........................#................................
.................................................................................|#~~~~~############~~~~~~~#|......................................#..........................#................................
.................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|......................................############################................................
.................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|..................................................................................................
.................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|..................................................................................................
.................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|..................................................................................................
.................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|..................................................................................................
.................................................................................|##########################|..................................................................................................
.................................................................................|..........................|..................................................................................................
.................................................................................|..........................|..................................................................................................
.................................................................................|..........................|..................................................................................................
.................................................................................|..........................|..................................................................................................
.................................................................................|..........................|..................................................................................................
..........#....#.................................................................|..........................|.....#.#..........................................................................................
..........#....#.................................................................|........................||||||||#.#..........................................................................................
..........#....#.................................................................|........................|#~~~~~~#.#..........................................................................................
..........#....#.................................................................|........................|#~~~~~~#.#.........#................................................................................
..........#....#.................................................................|........................|#~~~~~~#.#.........#...................................................#..#.........................
..........#....#...................................................#|||||||||||||||||||||||||||...........|#~~~~~~#.#.........#...................................................#..#.........................
..........#....#...................................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|#~~~~~~#.#.........#...................................................#..#.........................
..........#....#.................#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|#~~~~~~#.#.........#...................................................#..#.........................
..........######...............#.#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|#~~~~~~#.#.........#...................................................#..#.........................
...............................#.#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|#~~~~~~#.#.........#...................................................#..#.........................
...............................#.#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|#~~~~~~###.........#...................................................#..#.........................
...............................#.#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|#~~~~~~~~~~~~~~~~~~#...................................................#..#.........................
...............................#.#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|#~~~~~~~~~~~~~~~~~~#...................................................#..#.........................
...............................#.#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|####################...................................................####.........................
...............................#.#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|....................................................................................................
...............................#.#.................................#~~~~~~~~~~~~~~~~~~~~~~~~~#|...........|....................................................................................................
...............................###.................................###########################|...........|....................................................................................................
..............................................................................................|...........|................................................................................#.#.................
..............................................................................................|...........|................................................................................#.#.................
..............................................................................................|...........|................................................................................#.#.................
.............................................................................................|||..........|.............................................#.......................#..........#.#.................
.............................................................................................|#||||||||||||||||||||||||||................#..............#.......................#..........###.................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#..........#.......................#..............................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#..........#.......................#..............................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#..........#.......................#..............................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#..........#########################..............................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#.................................................................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#.................................................................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#.................................................................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#.................................................................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#.................................................................
.............................................................................................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#.................................................................
...............................................................#.............................|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#.................................................................
...............................................................#....................#........|#~~~~~~~~~~~~~~~~~~~~~~~~#|................#...#..........................#..............#.......................
...............................................................#....................#........|##########################|................#...#..........................#..............#.......................
......#...........#............................................#....................#........|..........................|................#...#..........................#..............#.......................
......#...........#............................................#....................#........|..........................|................#...#..........................#..............#.......................
......#...........#............................................#....................#........|..........................|................#...#..........................#..............#.......................
......#...........#............................................#....................#........|..........................|................#...#..........................#..............#.......................
......#...........#............................................#....................#........|..........................|................#...#..........................#..............#.......................
......#...........#............................................#....................#........|..........................|................#...#..........................#..............#.......................
......#...........#............................................#....................#........|............|||||||||||||||||||||||#.......#...#..........................#..............#.......................
......#...........#............................................#....................#........|............|#~~~~~~~~~~~~~~~~~~~~~#.......#...#..........................#..............#.......................
......#...........#............................................#....................#........|............|#~~~~~~~~~~~~~~~~~~~~~#.......#...#..........................#..............#.......................
......#...........#............................................#....................#........|............|#~~~~~~~~~~~~~~~~~~~~~#.......#...#..........................#..............#.......................
......#...........#............................................#....................#........|............|#~~~~~~~~~~~~~~~~~~~~~#.......#...#..........................#..............#.......................
......#...........#............................................#....................#........|............|#~~~~~~~~~~~~~~~~~~~~~#.......#...#..........................#..............#.......................
......#...........#............................................#....................#........|............|#~~~~~~~~~~~~~~~~~~~~~#.......#####..........................#..............#.......................
......#...........#............................................######################........|............|#~~~~~~~~~~~~~~~~~~~~~#......................................#..............#.......................
......#...........#..........................................................................|............|#~~~~~~~~~~~~~~~~~~~~~#......................................#..............#.......................
......#############..........................................................................|............|#~~~~~~~~~~~~~~~~~~~~~#......................................#..............#.......................
.............................................................................................|............|#~~~~~~~~~~~~~~~~~~~~~#......................................#..............#.......................
.............................................................................................|............|#~~~~~~~~~~~~~~~~~~~~~#......................................#..............#.......................
.............................................................................................|............|#~~~~~~~~~~~~~~~~~~~~~#......................................#..............#.......................
.....................................#...............#.......................................|............|#~~~~~~~~~~~~~~~~~~~~~#......................................#..............#.......................
.....................................#...............#.......................................|............|#######################......................................#..............#.......................
.....................................#...............#.......................................|............|.............................................................#..............#.......................
.....................................#...............#.......................................|............|.............................................................#..............#.......................
.....................................#...............#.......................................|............|.............................................................#..............#.......................
.....................................#...............#.......................................|............|.............................................................#..............#.......................
.....................................#...............#.......................................|............|.............................................................#..............#.......................
.....................................#...............#.......................................|............|.............................................................################.......................
.....................................#...............#.......................................|............|................................#.........#.........................................................
.....................................#...............#.......................................|............|................................#.........#.........................................................
.....................................#################.......................................|.||||||||||||||||||#.........................#.........#.........................................................
.............................................................................................|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
.............................................................................................|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
.............................................................................................|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
.............................................................................................|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
.............................................................................................|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
..........................................#....................#.............................|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
...................#......................#....................#..#.............#............|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|#~~~~~~~~~~~~~~~~#.........................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|##################.........................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|...........................................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|...........................................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|...........................................#.........#.........................................................
...................#......................#....................#..#..#..........#............|.|...........................................###########.........................................................
...................#......................#....................#..#..#..........#............|.|...............................................................................................................
...................#......................#....................####..#..........#............|.|...............................................................................................................
...................#......................#..........................############............|.|...............................................................................................................
...................#......................#..................................................|.|...............................................................................................................
...................#......................#..................................................|.|...............................................................................................................
...................#......................#......................................|||||||||||||||||||||||#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#~~~~~~~~~~~~~~~~~~~~~#......................................................................................................
...................#......................#......................................|#######################......................................................................................................
